claim_id,claim_text_or_slot,claim_type,target_inquiry,evidence_path,support_level,interpretation_boundary,diagnosed_limit,risk,author_action,author_boundary,artifact_kind,ai4ss_model_path,model_id,concept_id,causal_id,bridge_id,ai4ss_check_status,commensurability_status
CL01,"AI is a general-purpose technology (GPT) with growth effects operating through capital deepening, TFP, and labor substitution channels",literature_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"docs/literature_matrix.csv → acemoglu_2019_automation_new_tasks, acemoglu_2018_race_man_machine, brynjolfsson_2017_ai_modern_productivity, acemoglu_2025_simple_macro_ai",partial,GPT framework is theoretically strong but empirically unsettled; magnitude of AI growth effects remains disputed (Acemoglu 0.53% vs industry expectations >1%),No direct empirical test of GPT status; consensus is theoretical and contested by rival_003 (AI may be ordinary automation),overclaim: avoid 'AI is conclusively a GPT'; use 'GPT-like potential' or 'widely theorized as a GPT',soften,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL02,Automation of routine and cognitive tasks by AI reduces labor share and may suppress growth unless compensated by new task creation,literature_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"docs/literature_matrix.csv → acemoglu_2019_automation_new_tasks, acemoglu_2018_race_man_machine, acemoglu_2020_competing_robots_france, restrepo_2024_automation_survey",strong,Task-replacement theory is well-established at theoretical and firm levels; cross-country macro decomposition remains untested,Firm-level evidence (France) may not generalize to cross-country macro panel; industry/GDP proxy for automation exposure is indirect,unsupported_mechanism: firm-level evidence does not automatically validate cross-country macro mechanism claims,cite,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL03,"AI creates new tasks where labor has comparative advantage, restoring labor demand and enabling TFP-driven growth",literature_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"docs/literature_matrix.csv → acemoglu_2019_automation_new_tasks, acemoglu_2018_race_man_machine, acemoglu_2018_low_high_skill_automation",partial,New-task theory is theoretically elegant; empirical evidence for this channel at macro level is absent. pwt_human_capital_index is a weak proxy for new-task capacity.,"No direct measure of new task creation exists in cross-country macro data; HCI proxy captures skill level, not task dynamism",unsupported_mechanism: claiming HCI = new-task capacity risks overclaim. Frame as exploratory heterogeneity analysis,soften,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL04,TOP500 compute capacity (log_total_rmax) is associated with -0.062 percentage points lower annual GDP growth (p=0.066),estimate,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"reports/did_diagnostics_report.html, Full controls TWFE specification",partial,"This is a conditional association, not a causal effect. TWFE with continuous treatment does not identify causal parameters under treatment effect heterogeneity.",No exogenous variation; reverse causality threat (synth_006); 141 zero-compute countries drive extensive-margin identification,causal_language: Do NOT say 'compute reduces growth.' Say 'associated with' or 'conditional correlation suggests.' The negative sign may be artifact of extensive margin contrast or reverse causality.,soften,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL05,The negative log_total_rmax coefficient is stable across nested specifications (-0.077 to -0.062) and robust to placebo permutation (p=0.001),diagnostic,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,reports/did_diagnostics/coef_stability.png; reports/did_diagnostics/placebo_continuous.png,strong,"Stability and placebo tests reject the null of zero association, supporting the finding is not an artifact. But stability does not address endogeneity.","Stability to observed covariates does not address unobserved confounding; placebo test uses within-year permutation, not temporal placebo",overclaim: Do not say 'robustness proves causality' — say 'robust to specification checks and randomization inference',soften,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL06,AI growth effects are stronger in advanced economies; developing countries face infrastructure/skills/institutional constraints,literature_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"docs/literature_matrix.csv → gonzales_2023_ai_innovation_growth, damioli_2021_ai_labor_productivity, georgieff_2022_ai_employment; docs/literature_theory_synthesis.csv → synth_004",partial,Direction of heterogeneity is consistent but effect sizes across studies vary. Developing-country evidence is sparse. Our exclude-OECD check will contribute new evidence.,All three supporting papers need primary source verification (currently abstract-sourced). Developing-country AI adoption measurement is poor.,missing_citation: These three papers must be verified before citing. Policy implication claims about developing countries exceed design scope.,cite,needs_author_decision,decision_prompt,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL07,All existing cross-country AI-growth studies use AI patents or occupational AI exposure as treatment; none use compute infrastructure,literature_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,docs/literature_theory_synthesis.csv → synth_005; docs/literature_open_questions.md literature gaps section,strong,This measurement gap is confirmed by systematic literature review across 37 candidate papers. Top500 compute is a novel measurement strategy.,TOP500 includes non-AI supercomputers; this must be disclosed transparently,"missing_citation: must cite the specific papers that use AI patents (Gonzales 2023, Damioli 2021) to establish the contrast. Overclaim risk: do not say 'first to measure AI' — say 'first to use compute infrastructure as proxy'",cite,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL08,log_total_rmax coefficient is negative and significant at 10% level (p=0.066) — contrary to expectation that AI compute promotes growth,interpretation,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,reports/did_diagnostics_report.html; docs/literature_theory_synthesis.csv → synth_006 reverse causality rival,weak,"Negative sign could reflect: (a) genuine displacement effect of automation, (b) reverse causality (GDP→compute), (c) extensive-margin artifact (zero-compute countries growing faster than compute-intensive ones), (d) short-panel noise (2015-2023)","Cannot distinguish between these interpretations with current design. The negative sign is a puzzle, not a finding — it requires explanation beyond the model output.",overclaim: the negative sign is the most dangerous claim. Do NOT interpret as 'compute harms growth' without extensive caveats. Frame as 'unexpected negative association requiring further investigation.',decide,needs_author_decision,decision_prompt,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL09,The 2015-2023 panel is too short to capture GPT-like productivity effects which may take decades to materialize (Brynjolfsson productivity paradox),interpretation,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,docs/literature_theory_synthesis.csv → synth_006; brynjolfsson_2017_ai_modern_productivity,strong,Brynjolfsson's productivity paradox provides strong theoretical basis for expecting weak/no short-run effects. This is both a limitation and a benchmark expectation.,Cannot test lag structure beyond 9 years. Post-2023 data will be crucial.,missing_citation: must cite Brynjolfsson (2017) specifically for the productivity paradox framing,cite,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
CL10,"This study uses country + year fixed effects with standard errors clustered at country level, following standard practice in cross-country growth panels",design_fact,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,"docs/panel_summary.json → fixed_effects, se fields; scripts/run_did_diagnostics.R",strong,"TWFE is the workhorse estimator for cross-country panels. But with continuous treatment and staggered adoption patterns, TWFE does not identify the ATET under treatment effect heterogeneity.",Design is not clean staggered DID: 35/44 treated units are always-treated. Binary DID is infeasible. Continuous treatment specification mitigates but does not solve identification.,wrong_estimand: do not claim ATET or causal effect. Claim 'conditional association' or 'partial correlation' after FE.,soften,scaffold_only,scaffold_only,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable:project_has_no_aiss,not_applicable,not_applicable
