country,sentence_count,token_count,ai_dependency_mean,ai_dependency_median,ai_dependency_max,ai_dependency_std,ai_dependency_p75,ai_dependency_p90,high_ai_ratio
China,24,250,0.2578,0.2331,0.5464,0.0866,0.2879,0.3488,0.25
South Africa,14,139,0.2471,0.2372,0.4079,0.1036,0.2958,0.4021,0.2857
India,26,260,0.2368,0.2334,0.4285,0.0772,0.277,0.3244,0.1538
Indonesia,13,146,0.2311,0.2324,0.3752,0.0743,0.2613,0.3421,0.2308
South Korea,22,262,0.2294,0.2183,0.4539,0.0946,0.284,0.3362,0.1818
United States,28,256,0.2194,0.2129,0.4071,0.0814,0.2615,0.3456,0.1786
United Kingdom,26,286,0.2183,0.2185,0.4331,0.0746,0.2602,0.288,0.0769
Turkey,16,213,0.2133,0.1839,0.4604,0.0952,0.2367,0.3372,0.125
Japan,21,175,0.2109,0.2145,0.3234,0.0534,0.2369,0.2701,0.0952
Singapore,9,112,0.2107,0.2146,0.2656,0.0425,0.2371,0.2566,0.0
Vietnam,13,144,0.2101,0.2106,0.3108,0.0828,0.2665,0.2978,0.0769
Egypt,16,191,0.2032,0.2013,0.2796,0.0533,0.2541,0.2704,0.0
Ethiopia,24,258,0.1975,0.1877,0.3685,0.0858,0.2631,0.3033,0.125
Brazil,22,283,0.1944,0.204,0.4565,0.0864,0.2311,0.2629,0.0455
France,22,256,0.1906,0.1801,0.3328,0.0601,0.2335,0.251,0.0455
Nigeria,12,130,0.1889,0.1851,0.3264,0.0793,0.2667,0.2842,0.0833
Bangladesh,23,213,0.1879,0.1959,0.3374,0.0769,0.2434,0.2823,0.0435
Thailand,19,212,0.1879,0.1725,0.5218,0.0999,0.2228,0.2676,0.0526
Italy,30,353,0.1871,0.1624,0.3552,0.0766,0.2207,0.3124,0.1333
Poland,17,159,0.1741,0.1417,0.3508,0.0765,0.2332,0.2553,0.0588
Australia,18,219,0.1692,0.1694,0.293,0.059,0.1896,0.2382,0.0
Mexico,24,246,0.1674,0.1412,0.3707,0.0877,0.2195,0.294,0.125
Canada,34,406,0.1654,0.1496,0.3312,0.0823,0.2106,0.2841,0.0882
Argentina,8,91,0.1538,0.1367,0.2374,0.069,0.2358,0.237,0.0
Netherlands,26,296,0.1533,0.1479,0.4129,0.1067,0.206,0.2761,0.0769
Switzerland,6,60,0.1521,0.1308,0.2274,0.0525,0.199,0.2242,0.0
Germany,29,293,0.149,0.144,0.3341,0.0708,0.2002,0.2297,0.0345
Russia,18,223,0.147,0.15,0.2791,0.0693,0.196,0.2259,0.0
Chile,18,204,0.1407,0.1308,0.2804,0.0639,0.1715,0.2355,0.0
Saudi Arabia,10,101,0.1047,0.094,0.2436,0.0706,0.1331,0.2015,0.0
