stage,variable,rows,non_missing_rows,non_missing_pct,countries,min_year,max_year
outcome,source_outcome,11840,11840,100.0,185,1960,2023
outcome,gdp_pc,11840,10536,88.99,185,1960,2023
outcome,log_gdp_pc,11840,10536,88.99,185,1960,2023
outcome,growth_annual,11840,10426,88.06,185,1960,2023
outcome,growth_5yr,11840,9970,84.21,185,1960,2023
outcome,growth_10yr,11840,9351,78.98,185,1960,2023
outcome,population,11840,10536,88.99,185,1960,2023
outcome,sample_flag_1960plus,11840,11840,100.0,185,1960,2023
growth,source_outcome,11840,11840,100.0,185,1960,2023
growth,gdp_pc,11840,10536,88.99,185,1960,2023
growth,log_gdp_pc,11840,10536,88.99,185,1960,2023
growth,growth_annual,11840,10426,88.06,185,1960,2023
growth,growth_5yr,11840,9970,84.21,185,1960,2023
growth,growth_10yr,11840,9351,78.98,185,1960,2023
growth,population,11840,10536,88.99,185,1960,2023
growth,sample_flag_1960plus,11840,11840,100.0,185,1960,2023
growth,maddison_gdp_pc,11840,9840,83.11,161,1960,2022
growth,maddison_growth_annual,11840,9809,82.85,161,1960,2022
growth,maddison_growth_5yr,11840,9744,82.3,161,1960,2022
growth,maddison_growth_10yr,11840,9666,81.64,161,1960,2022
growth,wdi_gdp_growth_annual_pct,11840,9712,82.03,181,1961,2023
growth,wdi_population,11840,11618,98.12,182,1960,2023
growth,wdi_exports_gdp,11840,7926,66.94,168,1960,2023
growth,wdi_imports_gdp,11840,7926,66.94,168,1960,2023
growth,wdi_investment_gdp,11840,7299,61.65,161,1960,2023
growth,wdi_agriculture_value_added_gdp,11840,7989,67.47,180,1960,2023
growth,wdi_industry_value_added_gdp,11840,7962,67.25,181,1960,2023
growth,wdi_services_value_added_gdp,11840,7712,65.14,180,1960,2023
growth,wdi_trade_gdp,11840,7926,66.94,168,1960,2023
growth,pwt_human_capital_index,11840,8574,72.42,145,1960,2023
growth,pwt_tfp,11840,6668,56.32,120,1960,2023
growth,pwt_investment_share,11840,10536,88.99,185,1960,2023
growth,pwt_export_share,11840,10536,88.99,185,1960,2023
growth,pwt_import_share,11840,10536,88.99,185,1960,2023
growth,wdi_gdp_growth_annual_pct_lag1,11840,9534,80.52,181,1962,2023
growth,wdi_population_lag1,11840,11436,96.59,182,1961,2023
growth,wdi_exports_gdp_lag1,11840,7770,65.62,168,1961,2023
growth,wdi_imports_gdp_lag1,11840,7770,65.62,168,1961,2023
growth,wdi_investment_gdp_lag1,11840,7147,60.36,161,1961,2023
growth,wdi_agriculture_value_added_gdp_lag1,11840,7817,66.02,180,1961,2023
growth,wdi_industry_value_added_gdp_lag1,11840,7789,65.79,181,1961,2023
growth,wdi_services_value_added_gdp_lag1,11840,7539,63.67,180,1961,2023
growth,wdi_trade_gdp_lag1,11840,7770,65.62,168,1961,2023
growth,pwt_human_capital_index_lag1,11840,8429,71.19,145,1961,2023
growth,pwt_tfp_lag1,11840,6548,55.3,120,1961,2023
growth,pwt_investment_share_lag1,11840,10351,87.42,185,1961,2023
growth,pwt_export_share_lag1,11840,10351,87.42,185,1961,2023
growth,pwt_import_share_lag1,11840,10351,87.42,185,1961,2023
